Grupo de comprobaciones,Nombre de la clase,Límites,Datos de prueba dentro de la clase (contenido del campo),Datos de prueba en los límites (contenido del campo),Clarificación y optimización
Nombre,Clase 1 (Positiva),Longitud de 2 a 14 caracteres.,"Juan, Alex, Luis, Ana, Eva",Juan (4 caracteres),Nombre válido de 4 caracteres.
,Clase 2 (Positiva),Longitud de 2 a 14 caracteres.,"Sofía, Mario, Luis, Marta, Carla",Sofía (4 caracteres),Nombre válido con 4 caracteres y letras del alfabeto latino.
,Clase 3 (Positiva),Longitud de 2 a 14 caracteres.,"Juan Carlos, Ana María, José Luis, Pablo Alejandro",Ana María (8 caracteres),"Nombre compuesto con un espacio entre palabras, válido."
,Clase 4 (Negativa),Longitud menor de 2 caracteres.,"J, A",J (1 carácter),"El nombre no puede ser de 1 solo carácter, el mínimo es 2."
,Clase 5 (Negativa),Longitud mayor de 14 caracteres.,"Alexander, Maximiliano, Francesca",Maximiliano (15 caracteres),El nombre no debe superar los 14 caracteres.
,Clase 6 (Negativa),Clase de solo números,"1234, 56789","1234 (4 caracteres, solo números)",Los nombres no pueden contener únicamente números.
,Clase 7 (Negativa),Clase de caractertes especiales,"M@rtin, José#, A&lex","M@rtin (6 caracteres, contiene un símbolo)",Los nombres no pueden contener símbolos especiales.
,Clase 8 (Negativa),Campo vacío,"""""","""""",El campo no puede estar vacío.
,Clase 9 (Negativa),Contiene caracteres especiales no permitidos.,"José@, Carlos#, Luis*, Juan#","José@ (4 caracteres, pero contiene un símbolo)","Los nombres solo deben contener letras del alfabeto latino, espacios o guiones."
,Clase 10 (Positiva),"Longitud de 2 a 14 caracteres, solo letras.","Mario, Eva",Mario (5 caracteres),"Nombre válido de 5 caracteres, solo con letras."
,Clase 11 (Positiva),Longitud de 2 a 14 caracteres.,"Laura, Hugo",Laura (5 caracteres),Nombre válido de 5 caracteres con letras del alfabeto latino.
,Clase 12 (Negativa),Contiene más de un espacio o guion.,"Ana María Pérez, Juan Carlos- López","Ana María Pérez (15 caracteres, pero contiene un espacio extra)",Los nombres no pueden contener más de un espacio entre las palabras.
,Clase 13 (Negativa),Contiene caracteres en otro idioma.,"Müller, François, 中文",François (8 caracteres),Los nombres deben contener solo caracteres del alfabeto latino estándar.
,Clase 14 (Negativa),Contiene caracteres alfanuméricos.,"Juan123, 123José, A1ex","123Juan (5 caracteres, pero contiene números)",Los nombres no pueden contener números.
Apellido,Clase 1 (Positiva),Longitud de 2 a 14 caracteres.,"Perez, Rodriguez, Garcia, Lopez, Martinez",Perez (4 caracteres),Apellido válido con 5 caracteres.
,Clase 2 (Positiva),Longitud de 2 a 14 caracteres.,"Gomez Sanchez, Martinez Lopez, Perez Fernandez",Gomez (5 caracteres en total),Apellido válido con 5 caracteres.
,Clase 3 (Positiva),Longitud de 2 a 14 caracteres.,"Pérez Fernández, Martínez López, García Marquez",Pérez Fernández (14 caracteres),"Apellido compuesto con un espacio, válido."
,Clase 4 (Negativa),Longitud menor de 2 caracteres.,"L, M",L (1 carácter),"El apellido no puede ser de 1 solo carácter, el mínimo es 2."
,Clase 5 (Negativa),Longitud mayor de 14 caracteres.,"Rodríguez González, Fernández Pérez",Rodríguez González (16 caracteres),El apellido no debe superar los 14 caracteres.
,Clase 6 (Negativa),"Contiene caracteres no permitidos (números, símbolos).","López123, Martínez@, García#","López123 (6 caracteres, pero contiene números)",Los apellidos no pueden contener números ni símbolos especiales.
,Clase 7 (Negativa),Campo vacío,"""""","""""",El campo no puede estar vacío.
,Clase 8 (Negativa),Contiene caracteres especiales no permitidos.,"González@, Pérez#","González@ (8 caracteres, pero contiene un símbolo)","Los apellidos solo deben contener letras del alfabeto latino, espacios o guiones."
,Clase 9 (Positiva),"Longitud de 2 a 14 caracteres, solo letras.","Díaz, Torres, García, López",Díaz (4 caracteres),"Apellido válido con 4 caracteres, solo con letras."
,Clase 10 (Positiva),Longitud de 2 a 14 caracteres.,"Ruiz, López",Ruiz (4 caracteres),Apellido válido de 4 caracteres con letras del alfabeto latino.
,Clase 11 (Negativa),Contiene guion en el texto.,Pérez-González,"Pérez-González (13 caracteres, un guion)",Los apellidos no deben contener guiones.
,Clase 12 (Negativa),Contiene espacio en el texto.,Juan Carlos,"Juan Carlos (10 caracteres, un espacio)",Los apellidos no deben contener espacios.
,Clase 13 (Negativa),Contiene caracteres alfanuméricos.,"Pérez123, 123López, A1ex","123Pérez (5 caracteres, pero contiene números)",Los apellidos no pueden contener números.